,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
62,707179,585,M5,222.45,223.6,222.4,222.75,207307,,,,,,,{},{},2019-10-29 14:25:00.000000,2019-11-01 16:56:54.544145,2019-11-01 10:03:16.766486,32.142857142857146,29.794745484400654
63,707180,585,M5,222.8,223.25,220.8,221.25,465314,,,,,,,{},{},2019-10-29 14:30:00.000000,2019-11-01 16:56:54.548781,2019-11-01 10:03:16.766543,13.043478260869565,24.4873991575641
64,707181,585,M5,221.15,222.7,221.15,222.55,376360,,,,,,,{},{},2019-10-29 14:35:00.000000,2019-11-01 16:56:54.553874,2019-11-01 10:03:16.766600,38.679245283019,27.955193562248542
65,707182,585,M5,222.6,222.75,218.75,219.25,1158748,,,,,,,{},{},2019-10-29 14:40:00.000000,2019-11-01 16:56:54.558443,2019-11-01 10:03:16.766657,7.092198581560273,19.604974041816252
66,707183,585,M5,219.25,219.45,217.0,218.6,1512363,,,,,,,{},{},2019-10-29 14:45:00.000000,2019-11-01 16:56:54.563306,2019-11-01 10:03:16.766714,18.181818181818095,21.317754015465763
67,707184,585,M5,218.7,218.75,216.35,217.6,872490,,,,,,,{},{},2019-10-29 14:50:00.000000,2019-11-01 16:56:54.567673,2019-11-01 10:03:16.766771,13.227513227513203,12.833843330297162
68,707185,585,M5,217.55,219.5,215.25,219.0,1564827,,,,,,,{},{},2019-10-29 14:55:00.000000,2019-11-01 16:56:54.572355,2019-11-01 10:03:16.766829,35.54502369668243,22.318118368671218
69,707186,585,M5,219.25,221.15,217.25,220.25,1233144,,,,,,,{},{},2019-10-29 15:00:00.000000,2019-11-01 16:56:54.576439,2019-11-01 10:03:16.766885,49.75124378109447,32.84126023509668
70,707187,585,M5,220.3,221.95,219.35,220.9,1132464,,,,,,,{},{},2019-10-29 15:05:00.000000,2019-11-01 16:56:54.580610,2019-11-01 10:03:16.766943,56.78391959799007,47.360062358588955
71,707188,585,M5,220.7,220.9,217.6,219.35,1055090,,,,,,,{},{},2019-10-29 15:10:00.000000,2019-11-01 16:56:54.584933,2019-11-01 10:03:16.767000,41.20603015075376,49.24706450994608
72,707189,585,M5,219.15,219.35,217.45,218.25,1027524,,,,,,,{},{},2019-10-29 15:15:00.000000,2019-11-01 16:56:54.589559,2019-11-01 10:03:16.767057,30.76923076923077,42.919726839324845
73,707190,585,M5,218.3,218.8,216.4,217.0,962149,,,,,,,{},{},2019-10-29 15:20:00.000000,2019-11-01 16:56:54.593952,2019-11-01 10:03:16.767116,20.114942528735657,30.69673448290671
74,707191,585,M5,217.0,217.45,215.1,215.6,661365,,,,,,,{},{},2019-10-29 15:25:00.000000,2019-11-01 16:56:54.598185,2019-11-01 10:03:16.767176,5.780346820809244,18.888173372925205
75,707192,585,M5,217.8,223.9,217.25,222.65,1902782,,,,,,,{},{},2019-10-30 09:15:00.000000,2019-11-01 16:56:54.603140,2019-11-01 10:03:16.767234,85.79545454545456,37.2302479649998
76,707193,585,M5,222.5,222.9,217.45,218.55,1340329,,,,,,,{},{},2019-10-30 09:20:00.000000,2019-11-01 16:56:54.607309,2019-11-01 10:03:16.767291,39.204545454545595,43.59344894026978
77,707194,585,M5,218.5,218.75,208.6,210.35,2375088,,,,,,,{},{},2019-10-30 09:25:00.000000,2019-11-01 16:56:54.611768,2019-11-01 10:03:16.767348,11.437908496732017,45.47930283224403
78,707195,585,M5,210.35,210.35,204.45,207.15,2533182,,,,,,,{},{},2019-10-30 09:30:00.000000,2019-11-01 16:56:54.616176,2019-11-01 10:03:16.767405,13.88174807197951,21.508067341085678
79,707196,585,M5,207.3,208.5,205.6,206.5,1011392,,,,,,,{},{},2019-10-30 09:35:00.000000,2019-11-01 16:56:54.620966,2019-11-01 10:03:16.767462,10.539845758354804,11.953167442355413
80,707197,585,M5,206.5,209.7,206.3,208.25,846749,,,,,,,{},{},2019-10-30 09:40:00.000000,2019-11-01 16:56:54.625045,2019-11-01 10:03:16.767521,19.537275064267394,14.652956298200536
81,707198,585,M5,208.15,210.75,207.6,210.3,767380,,,,,,,{},{},2019-10-30 09:45:00.000000,2019-11-01 16:56:54.629643,2019-11-01 10:03:16.767579,30.0771208226222,20.051413881748097
82,707199,585,M5,210.3,210.9,208.9,210.7,538161,,,,,,,{},{},2019-10-30 09:50:00.000000,2019-11-01 16:56:54.635989,2019-11-01 10:03:16.767637,32.13367609254496,27.24935732647815
83,707200,585,M5,210.6,212.95,210.2,210.9,1038324,,,,,,,{},{},2019-10-30 09:55:00.000000,2019-11-01 16:56:54.640687,2019-11-01 10:03:16.767694,33.161953727506486,31.790916880891185
84,707201,585,M5,211.05,211.25,208.95,211.0,682895,,,,,,,{},{},2019-10-30 10:00:00.000000,2019-11-01 16:56:54.644869,2019-11-01 10:03:16.767754,33.67609254498718,32.990574121679515
85,707202,585,M5,210.65,210.9,208.95,209.15,294348,,,,,,,{},{},2019-10-30 10:05:00.000000,2019-11-01 16:56:54.649782,2019-11-01 10:03:16.767813,24.164524421593896,30.334190231362495
86,707203,585,M5,209.0,210.85,208.9,210.85,305672,,,,,,,{},{},2019-10-30 10:10:00.000000,2019-11-01 16:56:54.654552,2019-11-01 10:03:16.767870,32.904884318766065,30.24850042844902
87,707204,585,M5,210.8,210.95,209.55,210.4,233172,,,,,,,{},{},2019-10-30 10:15:00.000000,2019-11-01 16:56:54.659314,2019-11-01 10:03:16.767927,30.591259640102887,29.22022279348759
88,707205,585,M5,210.3,210.65,208.25,208.8,419792,,,,,,,{},{},2019-10-30 10:20:00.000000,2019-11-01 16:56:54.664417,2019-11-01 10:03:16.767984,22.36503856041141,28.620394173093427
89,707206,585,M5,208.95,210.2,208.4,209.8,289162,,,,,,,{},{},2019-10-30 10:25:00.000000,2019-11-01 16:56:54.671023,2019-11-01 10:03:16.768046,28.997289972899825,27.317862724471343
90,707207,585,M5,209.8,214.3,208.8,213.2,1300846,,,,,,,{},{},2019-10-30 10:30:00.000000,2019-11-01 16:56:54.676094,2019-11-01 10:03:16.768104,61.18881118881114,37.51704657404076
91,707208,585,M5,213.0,222.35,213.0,220.5,3748137,,,,,,,{},{},2019-10-30 10:35:00.000000,2019-11-01 16:56:54.680345,2019-11-01 10:03:16.768162,89.66480446927378,59.95030187699488
92,707209,585,M5,220.7,224.75,219.1,223.5,3082224,,,,,,,{},{},2019-10-30 10:40:00.000000,2019-11-01 16:56:54.685088,2019-11-01 10:03:16.768219,93.47258485639686,81.44206683816056
93,707210,585,M5,223.45,229.05,223.05,224.65,3549050,,,,,,,{},{},2019-10-30 10:45:00.000000,2019-11-01 16:56:54.689393,2019-11-01 10:03:16.768354,80.65934065934064,87.93224332833705
94,707211,585,M5,224.7,224.9,221.3,222.4,1553613,,,,,,,{},{},2019-10-30 10:50:00.000000,2019-11-01 16:56:54.694597,2019-11-01 10:03:16.768413,68.997668997669,81.04319817113546
95,707212,585,M5,222.7,223.55,220.55,222.0,953550,,,,,,,{},{},2019-10-30 10:55:00.000000,2019-11-01 16:56:54.700324,2019-11-01 10:03:16.768471,66.1057692307692,71.92092629592624
96,707213,585,M5,222.15,222.2,216.65,217.45,2124715,,,,,,,{},{},2019-10-30 11:00:00.000000,2019-11-01 16:56:54.704447,2019-11-01 10:03:16.768527,44.230769230769155,59.77806915306908
97,707214,585,M5,217.75,221.5,216.85,221.3,1863917,,,,,,,{},{},2019-10-30 11:05:00.000000,2019-11-01 16:56:54.708601,2019-11-01 10:03:16.768584,62.740384615384635,57.69230769230763
98,707215,585,M5,221.25,221.9,218.8,220.05,944744,,,,,,,{},{},2019-10-30 11:10:00.000000,2019-11-01 16:56:54.712593,2019-11-01 10:03:16.768641,56.730769230769255,54.56730769230765
